source,target,value
hvg,Törvények rugalmas kezelése,100
index,Hűtlen kezelés,6
index,Korrupciós ügyek felgöngyölítése,76
origo,Gyanús pénzmozgások,86
nepszava,EU és külföldi multik,36
origo,Biznisz, céges ügyek,113
mno,Bróker ügyek nyomozása,26
mno,Gyanús pénzmozgások,119
jogi forum,Korrupciós ügyek felgöngyölítése,1
atlatszo hu,Fejlesztési pénzek eltűntetése,6
origo,Állami cégek piszkos ügyei,26
origo,EU és külföldi multik,58
blikk,Gyanús pénzmozgások,15
nol,Biznisz, céges ügyek,155
atlatszo hu,Korrupciós ügyek felgöngyölítése,20
hvg,Állam és pénzpiac összefonódása,50
atlatszo hu,Bróker ügyek nyomozása,4
beol,Átláthatatlan üzletek,1
nol,Állam és pénzpiac összefonódása,52
portfolio,Támogatáselosztás, csalások,1
hvg,Biznisz, céges ügyek,109
atlatszo hu,EU és külföldi multik,22
heti valasz,Hűtlen kezelés,2
mno,Vidéki ügyek,34
atv,Bróker ügyek nyomozása,7
nol,EU és külföldi multik,103
444,Biznisz, céges ügyek,34
atv,Biznisz, céges ügyek,53
origo,Támogatáselosztás, csalások,72
index,Támogatáselosztás, csalások,69
origo,Törvényessé tett korrupció,30
nepszava,Sikkasztási gyanú,3
hirextra,Képviselői vagyonosodás,3
atv,Törvények rugalmas kezelése,53
hvg,Képviselői vagyonosodás,37
fn hu,Fejlesztési pénzek eltűntetése,2
nol,Bróker ügyek nyomozása,28
origo,Képviselői vagyonosodás,33
atv,Gyanús pénzmozgások,34
bacs kiskun online,Törvények rugalmas kezelése,4
szoljon,Biznisz, céges ügyek,2
inforadio,Törvények rugalmas kezelése,16
atlatszo hu,Biznisz, céges ügyek,45
index,Képviselői vagyonosodás,45
origo,Állam és pénzpiac összefonódása,40
mno,Átláthatatlan üzletek,32
magyar narancs,Biznisz, céges ügyek,39
portfolio,Korrupciós ügyek felgöngyölítése,4
hvg,Átláthatatlan üzletek,24
hir24,Törvények rugalmas kezelése,21
mno,Törvények rugalmas kezelése,112
nol,Törvények rugalmas kezelése,136
atlatszo hu,Törvények rugalmas kezelése,36
magyar narancs,Átláthatatlan üzletek,10
nol,Gyanús pénzmozgások,113
origo,Korrupciós ügyek felgöngyölítése,41
origo,Törvények rugalmas kezelése,98
magyar narancs,Állam és pénzpiac összefonódása,17
hvg,Támogatáselosztás, csalások,43
heti valasz,Korrupciós ügyek felgöngyölítése,10
nol,Vidéki ügyek,40
mno,Állami cégek piszkos ügyei,16
hvg,Vidéki ügyek,35
atv,Vidéki ügyek,14
nepszava,Gyanús pénzmozgások,48
vilaggazdasag,Állami cégek piszkos ügyei,3
hvg,Gyanús pénzmozgások,78
vilaggazdasag,Törvényessé tett korrupció,9
index,Törvények rugalmas kezelése,155
nepszava,Törvények rugalmas kezelése,44
hvg,Törvényessé tett korrupció,27
vs hu,Állami cégek piszkos ügyei,9
nol,Fejlesztési pénzek eltűntetése,27
hvg,Bróker ügyek nyomozása,17
444,Korrupciós ügyek felgöngyölítése,12
atlatszo hu,Támogatáselosztás, csalások,17
index,EU és külföldi multik,107
fn hu,Vidéki ügyek,5
bama hu,Vidéki ügyek,2
magyar narancs,EU és külföldi multik,24
index,Szervezeti korrupció,50
index,Gyanús pénzmozgások,109
mno,Támogatáselosztás, csalások,54
index,Fejlesztési pénzek eltűntetése,24
vs hu,Biznisz, céges ügyek,38
napi hu,Gyanús pénzmozgások,22
origo hu,Biznisz, céges ügyek,8
hirextra,Gyanús pénzmozgások,5
klubradio online,Állam és pénzpiac összefonódása,3
nol,Állami cégek piszkos ügyei,36
index,Állam és pénzpiac összefonódása,65
nepszava,Támogatáselosztás, csalások,28
444,Állam és pénzpiac összefonódása,11
hir24,Szabályozások,1
origo,Átláthatatlan üzletek,22
vilaggazdasag,Átláthatatlan üzletek,7
hir24,EU és külföldi multik,12
nepszava,Szabályozások,2
mno,Biznisz, céges ügyek,145
magyar narancs,Közbeszerzés, pályáztatás,2
vilaggazdasag,Biznisz, céges ügyek,23
heti valasz,Biznisz, céges ügyek,33
hir24,Gyanús pénzmozgások,16
bacs kiskun online,Képviselői vagyonosodás,3
fn hu,Állam és pénzpiac összefonódása,5
hir24,Biznisz, céges ügyek,18
heti valasz,Támogatáselosztás, csalások,8
origo,Önkormányzati ingatlanmutyik,22
vs hu,Bróker ügyek nyomozása,5
index,Vidéki ügyek,45
napi hu,Képviselői vagyonosodás,9
nol,Átláthatatlan üzletek,28
444,Törvények rugalmas kezelése,30
mno,EU és külföldi multik,94
napi hu,Bróker ügyek nyomozása,5
