id,score,term,topic,dropdown
0,74.31828568562685,alapítvány,0,saliency (bigram)
1,2.4783282764813364,alapítvány,1,saliency (bigram)
2,30.084554388916896,alapítvány,2,saliency (bigram)
3,166.34721416540853,alapítvány,3,saliency (bigram)
4,4.943132640128523,alapítvány,4,saliency (bigram)
5,21.61350125874955,alapítvány,5,saliency (bigram)
6,0.6219283489431486,alapítvány,6,saliency (bigram)
7,8.149522453129615,alapítvány,7,saliency (bigram)
8,19.766848300784133,alapítvány,8,saliency (bigram)
9,326.2584134773121,alapítvány,9,saliency (bigram)
10,35.06411095358897,alapítvány,10,saliency (bigram)
11,0.9918065106993572,alapítvány,11,saliency (bigram)
12,31.765932464178896,alapítvány,12,saliency (bigram)
13,20.440668395256584,alapítvány,13,saliency (bigram)
14,34.95947028142371,alapítvány,14,saliency (bigram)
15,91.23761171409164,alapítvány,15,saliency (bigram)
16,4.220559780816874,alapítvány,16,saliency (bigram)
17,2.477464984050658,alapítvány,17,saliency (bigram)
18,6.907333377328969,alapítvány,18,saliency (bigram)
19,7.155953971332942,alapítvány,19,saliency (bigram)
20,8.306008152655284,alapítvány,20,saliency (bigram)
21,0.5808448160549671,alapítvány,21,saliency (bigram)
22,22.78292393676056,alapítvány,22,saliency (bigram)
23,3.065670683621937,alapítvány,23,saliency (bigram)
24,7.012571311488175,alapítvány,24,saliency (bigram)
25,10.549633028535903,egyesület,0,saliency (bigram)
26,3.990268899380408,egyesület,1,saliency (bigram)
27,6.925024567092678,egyesület,2,saliency (bigram)
28,46.90919155930761,egyesület,3,saliency (bigram)
29,0.488485161392483,egyesület,4,saliency (bigram)
30,3.947247215923904,egyesület,5,saliency (bigram)
31,92.31897503961892,egyesület,6,saliency (bigram)
32,4.356302983417279,egyesület,7,saliency (bigram)
33,0.3547442170318917,egyesület,8,saliency (bigram)
34,1112.8642628223581,egyesület,9,saliency (bigram)
35,59.114695719714746,egyesület,10,saliency (bigram)
36,1.1624445380330712,egyesület,11,saliency (bigram)
37,3.818077574842463,egyesület,12,saliency (bigram)
38,4.276365004426985,egyesület,13,saliency (bigram)
39,19.694494629624252,egyesület,14,saliency (bigram)
40,26.17129980586436,egyesület,15,saliency (bigram)
41,8.922089900530317,egyesület,16,saliency (bigram)
42,1.2362826904610127,egyesület,17,saliency (bigram)
43,5.356171722949113,egyesület,18,saliency (bigram)
44,0.14350972478222196,egyesület,19,saliency (bigram)
45,4.439951948571572,egyesület,20,saliency (bigram)
46,2.8021054764322653,egyesület,21,saliency (bigram)
47,1.6725872918347886,egyesület,22,saliency (bigram)
48,16.825367825719706,egyesület,23,saliency (bigram)
49,4.615017314717018,egyesület,24,saliency (bigram)
50,144.09585568430964,pályázat,0,saliency (bigram)
51,10.931844946621366,pályázat,1,saliency (bigram)
52,104.4666715228347,pályázat,2,saliency (bigram)
53,247.4694091168927,pályázat,3,saliency (bigram)
54,96.53407258783966,pályázat,4,saliency (bigram)
55,19.24528001037859,pályázat,5,saliency (bigram)
56,12.39238083315346,pályázat,6,saliency (bigram)
57,23.748149279346062,pályázat,7,saliency (bigram)
58,63.69902516071561,pályázat,8,saliency (bigram)
59,144.01913793804638,pályázat,9,saliency (bigram)
60,76.2989299488235,pályázat,10,saliency (bigram)
61,3.289129123753385,pályázat,11,saliency (bigram)
62,38.4789580751552,pályázat,12,saliency (bigram)
63,20.611342911622597,pályázat,13,saliency (bigram)
64,80.23225069222073,pályázat,14,saliency (bigram)
65,40.503636949766054,pályázat,15,saliency (bigram)
66,31.605706130184856,pályázat,16,saliency (bigram)
67,54.666515516478555,pályázat,17,saliency (bigram)
68,165.32305051977482,pályázat,18,saliency (bigram)
69,2.2289249484714566,pályázat,19,saliency (bigram)
70,24.0432062854707,pályázat,20,saliency (bigram)
71,10.523167148642184,pályázat,21,saliency (bigram)
72,4.692835701876682,pályázat,22,saliency (bigram)
73,38.809354327183556,pályázat,23,saliency (bigram)
