,yield,gen,year,site
0,56.8136586176,illegális,0,frequency (bigram)
1,61.2767714597,illegális,1,frequency (bigram)
2,70.110270526,illegális,2,frequency (bigram)
3,89.6413640644,illegális,3,frequency (bigram)
4,52.856433574,illegális,4,frequency (bigram)
5,9.08718965513,illegális,5,frequency (bigram)
6,88.5650996722,illegális,6,frequency (bigram)
7,55.6196179364,illegális,7,frequency (bigram)
8,55.7796248407,illegális,8,frequency (bigram)
9,102.850237645,illegális,9,frequency (bigram)
10,35.6389049019,illegális,10,frequency (bigram)
11,98.8944730531,illegális,11,frequency (bigram)
12,30.1451332633,illegális,12,frequency (bigram)
13,118.376005571,bevándorló,0,frequency (bigram)
14,164.795625677,bevándorló,1,frequency (bigram)
15,177.30550167,bevándorló,2,frequency (bigram)
16,151.504976753,bevándorló,3,frequency (bigram)
17,94.7018439285,bevándorló,4,frequency (bigram)
18,26.3874043639,bevándorló,5,frequency (bigram)
19,91.9391791825,bevándorló,6,frequency (bigram)
20,70.7654315998,bevándorló,7,frequency (bigram)
21,73.089834156,bevándorló,8,frequency (bigram)
22,159.348646826,bevándorló,9,frequency (bigram)
23,66.868998946,bevándorló,10,frequency (bigram)
24,174.207637686,bevándorló,11,frequency (bigram)
25,50.3044775647,bevándorló,12,frequency (bigram)
26,59.6774846242,bevándorlás,0,frequency (bigram)
27,75.8583323815,bevándorlás,1,frequency (bigram)
28,114.395121064,bevándorlás,2,frequency (bigram)
29,69.3538466944,bevándorlás,3,frequency (bigram)
30,46.2330453613,bevándorlás,4,frequency (bigram)
31,15.5148040971,bevándorlás,5,frequency (bigram)
32,49.1467551881,bevándorlás,6,frequency (bigram)
33,45.2215284032,bevándorlás,7,frequency (bigram)
34,31.5242320974,bevándorlás,8,frequency (bigram)
35,63.8472987543,bevándorlás,9,frequency (bigram)
36,30.6278941075,bevándorlás,10,frequency (bigram)
37,59.8368738235,bevándorlás,11,frequency (bigram)
38,26.1080683427,bevándorlás,12,frequency (bigram)
39,35.0065355908,probléma,0,frequency (bigram)
40,58.2423305593,probléma,1,frequency (bigram)
41,64.9710859747,probléma,2,frequency (bigram)
42,37.991967494,probléma,3,frequency (bigram)
43,40.0244533363,probléma,4,frequency (bigram)
44,33.7480770682,probléma,5,frequency (bigram)
45,40.9695158224,probléma,6,frequency (bigram)
46,38.5259272918,probléma,7,frequency (bigram)
47,33.9530913658,probléma,8,frequency (bigram)
48,39.8891304471,probléma,9,frequency (bigram)
49,35.1342930064,probléma,10,frequency (bigram)
50,57.0725178185,probléma,11,frequency (bigram)
51,28.2556936365,probléma,12,frequency (bigram)
52,30.731467595,megoldás,0,frequency (bigram)
53,27.9317087833,megoldás,1,frequency (bigram)
54,35.9183182835,megoldás,2,frequency (bigram)
55,32.3976823711,megoldás,3,frequency (bigram)
56,31.1948354524,megoldás,4,frequency (bigram)
57,28.5733860981,megoldás,5,frequency (bigram)
58,40.5041179222,megoldás,6,frequency (bigram)
59,38.8226024452,megoldás,7,frequency (bigram)
60,41.4535034776,megoldás,8,frequency (bigram)
61,37.9911031245,megoldás,9,frequency (bigram)
