source,target,value
Ghetto: Beregszász,C1: Auschwitz I,137
Ghetto: Beregszász,C1: Auschwitz II-Birkenau ,24
C1: Auschwitz I,C2: Bergen-Belsen,22
C1: Auschwitz I,C2: Fürstengrube,3
C2: Bergen-Belsen,CX,20
C1: Auschwitz I,C2: Gelsenkirchen-Horst,13
C1: Auschwitz I,C2: Buchenwald,13
C1: Auschwitz I,C2: Riese-Wolfsberg,12
C4: Bergen-Belsen,CX,10
C2: Gelsenkirchen-Horst,C3: Sömmerda,9
C2: Buchenwald,C3: Mittelbau-Dora,9
C1: Auschwitz I,C2: Ravensbrück,9
C1: Auschwitz I,C2: Lübberstedt,9
C3: Bergen-Belsen,CX,9
C1: Auschwitz I,C2: Hamburg,8
C1: Auschwitz I,C2: Fallersleben,8
C2: Boizenburg,CX,8
C3: Plön,CX,7
C1: Auschwitz I,C2: Mauthausen,7
C2: Fallersleben,C3: Salzwedel,7
C3: Salzwedel,CX,7
C2: Lübberstedt,C3: Plön,7
C3: Neustadt-Glewe,CX,6
C2: Gelsenkirchen-Horst,C3: Essen,6
C2: Ravensbrück,C3: Neustadt-Glewe,6
C3: Ebensee,CX,6
C3: Essen,C4: Bergen-Belsen,5
C3: Mittelbau-Dora,C4: Bergen-Belsen,5
C1: Auschwitz II-Birkenau ,C2: Bergen-Belsen,5
C6: Bergen-Belsen,CX,5
C2: Stuttgart,CX,1,
C2: Riese-Wolfsberg,C3: Ebensee,5
C1: Auschwitz II-Birkenau ,C2: Ravensbrück,4
C2: Hamburg,C3: Wedel,4
C3: Flossenbürg,C4: Offenburg,4
C3: Gleiwitz,C4: Mittelbau-Dora,4
C5: Bergen-Belsen,CX,4
C2: Ravensbrück,C3: Malchow,4
C1: Auschwitz I,CX,4
C1: Auschwitz II-Birkenau ,C2: Boizenburg,4
C1: Auschwitz I,C2: Boizenburg,4
C3: Sömmerda,CX,4
C2: Riese-Wolfsberg,C3: Riese-Wüstegiersdorf,3
C3: Celle,CX,3
C3: Malchow,CX,3
C6: Halbstadt,C7: Neustadt-Glewe,3
C1: Auschwitz I,C2: Auschwitz III-Monowitz,3
C6: Halbstadt,CX,3
C1: Auschwitz II-Birkenau ,C2: Buchenwald,3
C1: Auschwitz I,C2: Riese-Erlenbusch,3
C2: Riese-Erlenbusch,C3: Flossenbürg,3
C2: Mauthausen,C3: Gusen,3
C4: Mittelbau-Dora,C5: Blankenburg-Regenstein,3
C3: Mittelbau-Dora,C4: Bergen-Belsen,3
C7: Neustadt-Glewe,CX,3
C5: Blankenburg-Regenstein,C6: Halbstadt,3
C4: Mittelbau-Dora,CX,3
C2: Fürstengrube,C3: Mittelbau-Dora,3
C1: Auschwitz II-Birkenau ,C2: Auschwitz I,3
C2: Bergen-Belsen,C3: Celle,3
C2: Auschwitz III-Monowitz,C3: Gleiwitz,3
