id,score,term,topic,dropdown
1,1.0000000,lust,0,2006
2,0.6964986,greed,0,2006
3,0.6444659,jealousy,0,2006
4,0.6252428,desires,0,2006
5,0.6230931,pleasures,0,2006
6,0.6209793,infatuation,0,2006
7,0.6208958,desire,0,2006
8,0.6120959,seduction,0,2006
9,0.6102662,envy,0,2006
10,0.6070353,craving,0,2006
11,0.6068742,angst,1,2006
12,0.5986289,thirst,1,2006
13,0.5944273,despair,1,2006
14,0.5866362,love,1,2006
15,0.5853659,sensual,1,2006
16,0.5808747,passions,1,2006
17,0.5765799,temptation,1,2006
18,0.5748286,torment,1,2006
19,0.5746924,longing,1,2006
20,0.5679863,obsession,1,2006
21,1.0000000,lust,2,2006
22,0.6964986,greed,2,2006
23,0.6444659,jealousy,2,2006
24,0.6252428,desires,2,2006
25,0.6230931,pleasures,2,2006
26,0.6209793,infatuation,2,2006
27,0.6208958,desire,2,2006
28,0.6120959,seduction,2,2006
29,0.6102662,envy,2,2006
30,0.6070353,craving,2,2006
31,0.6068742,angst,2,2006
32,0.5986289,thirst,2,2006
33,0.5944273,despair,2,2006
34,0.5866362,love,2,2006
35,0.5853659,sensual,2,2006
36,0.5808747,passions,2,2006
37,0.5765799,temptation,2,2006
38,0.5748286,torment,2,2006
39,0.5746924,longing,2,2006
40,0.5679863,obsession,2,2006
41,0.6964986,greed,3,2006
42,0.6444659,jealousy,3,2006
43,0.6252428,desires,3,2006
44,0.6230931,pleasures,3,2006
45,0.6209793,infatuation,3,2006
46,0.6208958,desire,3,2006
47,0.6120959,seduction,3,2006
48,0.6102662,envy,3,2006
49,0.6070353,craving,3,2006
50,0.6068742,angst,3,2006
51,0.5986289,thirst,3,2006
52,0.5944273,despair,3,2006
53,0.5866362,love,3,2006
54,0.5853659,sensual,3,2006
55,0.5808747,passions,3,2006
56,0.5765799,temptation,3,2006
57,0.5748286,torment,3,2006
58,0.5746924,longing,3,2006
59,0.5679863,obsession,3,2006
60,0.6964986,greed,4,2006
61,0.6444659,jealousy,4,2006
62,0.6252428,desires,4,2006
63,0.6230931,pleasures,4,2006
64,0.6209793,infatuation,4,2006
65,0.6208958,desire,4,2006
66,0.6120959,seduction,4,2006
67,0.6102662,envy,4,2006
68,0.6070353,craving,4,2006
69,0.6068742,angst,4,2006
70,0.5986289,thirst,4,2006
71,0.5944273,despair,4,2006
72,0.5866362,love,4,2006
73,0.5853659,sensual,4,2006
74,0.5808747,passions,4,2006
75,0.5765799,temptation,4,2006
76,0.5748286,torment,4,2006
77,0.5746924,longing,4,2006
78,0.5679863,obsession,4,2006
79,0.6964986,greed,5,2006
80,0.6444659,jealousy,5,2006
81,0.6252428,desires,5,2006
82,0.6230931,pleasures,5,2006
83,0.6209793,infatuation,5,2006
84,0.6208958,desire,5,2006
85,0.6120959,seduction,5,2006
86,0.6102662,envy,5,2006
87,0.6070353,craving,5,2006
88,0.6068742,angst,5,2006
89,0.5986289,thirst,5,2006
90,0.5944273,despair,5,2006
91,0.5866362,love,5,2006
92,0.5853659,sensual,5,2006
93,0.5808747,passions,5,2006
94,0.5765799,temptation,5,2006
95,0.5748286,torment,5,2006
96,0.5746924,longing,5,2006
97,0.5679863,obsession,5,2006
98,1.0000000,lust,6,2006
99,0.6964986,greed,6,2006
100,0.6444659,jealousy,6,2006
101,0.6252428,desires,6,2006
102,0.6230931,pleasures,6,2006
103,0.6209793,infatuation,6,2006
104,0.6208958,desire,6,2006
105,0.6120959,seduction,6,2006
106,0.6102662,envy,6,2006
107,0.6070353,craving,6,2006
108,0.6068742,angst,7,2006
109,0.5986289,thirst,7,2006
110,0.5944273,despair,7,2006
111,0.5866362,love,7,2006
112,0.5853659,sensual,7,2006
113,0.5808747,passions,7,2006
114,0.5765799,temptation,7,2006
