id,score,term,topic,dropdown
1,0.8508038,catholicism,0,god
2,0.8000988,christianity,0,god
3,0.7845645,god,0,god
4,0.7601241,protestantism,0,god
5,0.7441516,religion,0,god
6,0.7258108,anglicanism,0,god
7,0.7002940,abrahamic,0,god
8,0.6860049,judaism,0,god
9,0.6814006,religions,0,god
10,0.6812279,idolatry,0,god
11,0.6791357,lutheranism,0,god
12,0.6782375,paganism,0,god
13,0.6742999,catholics,0,god
14,0.6727070,atheism,0,god
15,0.6671884,orthodoxy,0,god
16,0.6629579,hinduism,0,god
17,0.6610806,christians,0,god
18,0.6589760,theistic,0,god
19,0.6578509,sacraments,0,god
20,0.6544350,calvinism,0,god
21,0.8474864,protestantism,1,god
22,0.7881224,god,1,god
23,0.7765898,christianity,1,god
24,0.7580354,catholicism,1,god
25,0.7300716,calvinism,1,god
26,0.7237593,lutheranism,1,god
27,0.7164281,religion,1,god
28,0.7122722,protestants,1,god
29,0.7113948,anglicanism,1,god
30,0.7079974,abrahamic,1,god
31,0.7060133,protestant,1,god
32,0.6929732,believers,1,god
33,0.6856833,lutherans,1,god
34,0.6852028,idolatry,1,god
35,0.6835840,evangelicals,1,god
36,0.6809785,atheism,1,god
37,0.6795449,theistic,1,god
38,0.6777296,christians,1,god
39,0.6766166,calvinist,1,god
40,0.6727953,judaism,1,god
41,0.8476886,orthodoxy,2,god
42,0.7943885,god,2,god
43,0.7255115,christianity,2,god
44,0.7188154,believers,2,god
45,0.7041636,abrahamic,2,god
46,0.6940241,judaism,2,god
47,0.6920970,scripture,2,god
48,0.6896072,orthodox,2,god
49,0.6841658,theistic,2,god
50,0.6833615,gnosticism,2,god
51,0.6812166,divine,2,god
52,0.6792392,righteousness,2,god
53,0.6772488,scriptures,2,god
54,0.6772097,eschatology,2,god
55,0.6610185,religion,2,god
56,0.6603237,paganism,2,god
57,0.6584714,heretical,2,god
58,0.6565590,catholicism,2,god
59,0.6564528,atheism,2,god
60,0.6546709,idolatry,2,god
61,0.7799782,sin,0,sin
62,0.7797008,catholicism,0,sin
63,0.7086877,protestantism,0,sin
64,0.6872439,christianity,0,sin
65,0.6433277,idolatry,0,sin
66,0.6390085,religion,0,sin
67,0.6348631,anglicanism,0,sin
68,0.6220994,catholics,0,sin
69,0.6109044,lutheranism,0,sin
70,0.6071940,apostasy,0,sin
71,0.6057749,sinful,0,sin
72,0.5963075,sins,0,sin
73,0.5911728,protestants,0,sin
74,0.5898577,catholic,0,sin
75,0.5859856,calvinism,0,sin
76,0.5859110,christians,0,sin
77,0.5845817,sacraments,0,sin
78,0.5837258,judaism,0,sin
79,0.5831768,orthodoxy,0,sin
80,0.5778766,atheism,0,sin
81,0.7925027,sin,1,sin
82,0.7838628,protestantism,1,sin
83,0.6809358,catholicism,1,sin
84,0.6592464,protestants,1,sin
85,0.6556408,christianity,1,sin
86,0.6511614,calvinism,1,sin
87,0.6460205,lutheranism,1,sin
88,0.6407545,protestant,1,sin
89,0.6393348,idolatry,1,sin
90,0.6209066,sinful,1,sin
91,0.6183190,apostasy,1,sin
92,0.6174051,lutherans,1,sin
93,0.6128053,anglicanism,1,sin
94,0.6077219,calvinist,1,sin
95,0.6068574,evangelicals,1,sin
96,0.6049558,heresy,1,sin
97,0.6039915,religion,1,sin
98,0.5994166,sins,1,sin
99,0.5966566,catholics,1,sin
100,0.5943938,christians,1,sin
101,0.7812218,sin,2,sin
102,0.7653008,orthodoxy,2,sin
103,0.6234927,idolatry,2,sin
104,0.6197557,christianity,2,sin
105,0.6193851,heretical,2,sin
106,0.6132409,sinful,2,sin
107,0.6098891,protestantism,2,sin
108,0.6097830,heresy,2,sin
109,0.6028245,believers,2,sin
110,0.5991297,nicene,2,sin
111,0.5991244,repentance,2,sin
112,0.5990822,sins,2,sin
113,0.5973530,apostasy,2,sin
114,0.5963656,orthodox,2,sin
115,0.5963576,judaism,2,sin
116,0.5963012,catholicism,2,sin
117,0.5955547,righteousness,2,sin
118,0.5921729,scripture,2,sin
119,0.5918897,gnosticism,2,sin
120,0.5916045,gentiles,2,sin
121,0.8162011,catholicism,0,murder
122,0.7555104,murder,0,murder
123,0.7144240,christianity,0,murder
124,0.7136579,protestantism,0,murder
125,0.6868958,murders,0,murder
126,0.6454496,murdering,0,murder
127,0.6418177,persecutions,0,murder
128,0.6374002,murderer,0,murder
129,0.6355421,anglicanism,0,murder
130,0.6330394,complicity,0,murder
131,0.6312455,persecution,0,murder
132,0.6289323,catholics,0,murder
133,0.6244115,killings,0,murder
134,0.6240708,lutheranism,0,murder
135,0.6187218,catholic,0,murder
136,0.6184750,apostasy,0,murder
137,0.6173267,crimes,0,murder
138,0.6112934,confession,0,murder
139,0.6090054,murdered,0,murder
140,0.6059867,conviction,0,murder
141,0.6041105,convictions,0,murder
142,0.6025563,kidnapping,0,murder
143,0.6016793,religion,0,murder
144,0.6010544,protestant,0,murder
145,0.8075821,protestantism,1,murder
146,0.7537384,murder,1,murder
147,0.7255234,catholicism,1,murder
148,0.6938961,murders,1,murder
149,0.6938554,christianity,1,murder
150,0.6837871,protestant,1,murder
151,0.6790524,protestants,1,murder
152,0.6733606,lutheranism,1,murder
153,0.6534158,calvinism,1,murder
154,0.6506810,persecutions,1,murder
155,0.6450938,murderer,1,murder
156,0.6420785,heresy,1,murder
157,0.6419473,apostasy,1,murder
158,0.6417861,persecution,1,murder
159,0.6405322,crimes,1,murder
160,0.6360107,confession,1,murder
161,0.6343394,murdering,1,murder
162,0.6335237,convictions,1,murder
163,0.6318256,complicity,1,murder
164,0.6302616,conviction,1,murder
165,0.7879438,orthodoxy,2,murder
166,0.7355124,murder,2,murder
167,0.6592118,christianity,2,murder
168,0.6536824,murders,2,murder
169,0.6510913,heresy,2,murder
170,0.6464966,orthodox,2,murder
171,0.6386135,catholicism,2,murder
172,0.6338950,persecutions,2,murder
173,0.6321117,murderer,2,murder
174,0.6240942,protestantism,2,murder
175,0.6227676,apostasy,2,murder
176,0.6210441,convictions,2,murder
177,0.6198058,conviction,2,murder
178,0.6172316,murdering,2,murder
179,0.6108631,confession,2,murder
180,0.6054393,heretical,2,murder
181,0.6052534,crimes,2,murder
182,0.6051036,persecution,2,murder
183,0.5987576,paganism,2,murder
184,0.5949824,murderers,2,murder
185,0.8343023,catholicism,0,adultery
186,0.8212387,adultery,0,adultery
187,0.7504833,protestantism,0,adultery
188,0.7385171,christianity,0,adultery
189,0.7040850,apostasy,0,adultery
190,0.6981635,immorality,0,adultery
191,0.6832458,infidelity,0,adultery
192,0.6751224,celibacy,0,adultery
193,0.6744180,anglicanism,0,adultery
194,0.6690300,idolatry,0,adultery
195,0.6636556,homosexuality,0,adultery
196,0.6600699,blasphemy,0,adultery
197,0.6537365,lutheranism,0,adultery
198,0.6499048,religion,0,adultery
199,0.6479935,polygamy,0,adultery
200,0.6384550,incest,0,adultery
201,0.6353757,catholics,0,adultery
202,0.6323536,excommunication,0,adultery
203,0.6297609,marriage,0,adultery
204,0.6288187,marital,0,adultery
205,0.8312129,protestantism,1,adultery
206,0.8247809,adultery,1,adultery
207,0.7474030,catholicism,1,adultery
208,0.7221677,apostasy,1,adultery
209,0.7156645,christianity,1,adultery
210,0.7124295,immorality,1,adultery
211,0.6955814,calvinism,1,adultery
