id,score,term,topic,dropdown
1,1.0000000,lust,0,lust
2,0.6964986,greed,0,lust
3,0.6444659,jealousy,0,lust
4,0.6252428,desires,0,lust
5,0.6230931,pleasures,0,lust
6,0.6209793,infatuation,0,lust
7,0.6208958,desire,0,lust
8,0.6120959,seduction,0,lust
9,0.6102662,envy,0,lust
10,0.6070353,craving,0,lust
11,0.6068742,angst,0,lust
12,0.5986289,thirst,0,lust
13,0.5944273,despair,0,lust
14,0.5866362,love,0,lust
15,0.5853659,sensual,0,lust
16,0.5808747,passions,0,lust
17,0.5765799,temptation,0,lust
18,0.5748286,torment,0,lust
19,0.5746924,longing,0,lust
20,0.5679863,obsession,0,lust
21,0.8618764,lust,1,lust
22,0.7819604,man,1,lust
23,0.6618270,greed,1,lust
24,0.6243128,lover,1,lust
25,0.6119466,love,1,lust
26,0.6067869,woman,1,lust
27,0.6001753,jealousy,1,lust
28,0.5945630,sinner,1,lust
29,0.5918552,thirst,1,lust
30,0.5913646,infatuation,1,lust
31,0.5903057,pleasures,1,lust
32,0.5870136,stranger,1,lust
33,0.5842676,desires,1,lust
34,0.5791988,seduced,1,lust
35,0.5782777,desire,1,lust
36,0.5765673,longing,1,lust
37,0.5755618,sinful,1,lust
38,0.5701404,yearning,1,lust
39,0.5659152,seduction,1,lust
40,0.5650167,angst,1,lust
41,0.8556710,lust,2,lust
42,0.8033861,woman,2,lust
43,0.6665899,lover,2,lust
44,0.6463848,seduced,2,lust
45,0.6457614,infatuation,2,lust
46,0.6320408,seduction,2,lust
47,0.6294770,seductive,2,lust
48,0.6245776,prostitute,2,lust
49,0.6217045,girl,2,lust
50,0.6215518,love,2,lust
51,0.6213317,jealousy,2,lust
52,0.6183558,sensual,2,lust
53,0.6120123,fatale,2,lust
54,0.6047260,desires,2,lust
55,0.6046473,adultery,2,lust
56,0.5981721,greed,2,lust
57,0.5977317,seduces,2,lust
58,0.5945355,desire,2,lust
59,0.5944677,man,2,lust
60,0.5939744,erotic,2,lust
61,1.0000000,greed,0,greed
62,0.6964986,lust,0,greed
63,0.6694713,arrogance,0,greed
64,0.6383264,deceit,0,greed
65,0.6350305,selfish,0,greed
66,0.6344315,jealousy,0,greed
67,0.6293387,hypocrisy,0,greed
68,0.6234729,desperation,0,greed
69,0.6192496,despair,0,greed
70,0.6188116,evils,0,greed
71,0.6168138,hatred,0,greed
72,0.6166827,ignorance,0,greed
73,0.6082493,stupidity,0,greed
74,0.6038529,greedy,0,greed
75,0.6034472,immorality,0,greed
76,0.6013216,envy,0,greed
77,0.5968178,loathing,0,greed
78,0.5955297,desires,0,greed
79,0.5943062,misery,0,greed
80,0.5943044,vices,0,greed
81,0.8517091,greed,1,greed
82,0.7971461,man,1,greed
83,0.6524441,lust,1,greed
84,0.6116507,desperation,1,greed
85,0.6029589,selfish,1,greed
86,0.5987943,ambition,1,greed
87,0.5971710,arrogance,1,greed
88,0.5870019,jealousy,1,greed
89,0.5868415,evil,1,greed
90,0.5867052,ruthless,1,greed
91,0.5852809,stupidity,1,greed
92,0.5839872,heartless,1,greed
93,0.5832660,greedy,1,greed
94,0.5814055,murderous,1,greed
95,0.5696729,cowardly,1,greed
96,0.5661135,despair,1,greed
97,0.5646270,mankind,1,greed
98,0.5611078,misery,1,greed
99,0.5601091,foolish,1,greed
100,0.5586146,desires,1,greed
101,0.8133117,greed,2,greed
102,0.7785726,woman,2,greed
103,0.6827559,lust,2,greed
104,0.6363448,jealousy,2,greed
105,0.6349292,seduced,2,greed
106,0.6293942,man,2,greed
107,0.6242736,desperation,2,greed
108,0.6132230,lover,2,greed
109,0.6100578,infatuation,2,greed
110,0.6067561,selfish,2,greed
111,0.6064314,desires,2,greed
112,0.6028992,ambition,2,greed
113,0.6004790,fatale,2,greed
114,0.5984231,immorality,2,greed
115,0.5944940,prostitute,2,greed
116,0.5878399,heartless,2,greed
117,0.5858131,yearning,2,greed
118,0.5833101,despair,2,greed
119,0.5788847,arrogance,2,greed
120,0.5777039,girl,2,greed
121,1.0000000,sloth,0,sloth
122,0.5727448,hyena,0,sloth
123,0.5674097,squirrels,0,sloth
124,0.5658419,lemurs,0,sloth
125,0.5647889,hyenas,0,sloth
126,0.5601003,carnivores,0,sloth
127,0.5407427,squirrel,0,sloth
128,0.5331080,ungulates,0,sloth
129,0.5294221,armadillo,0,sloth
130,0.5240513,monkeys,0,sloth
131,0.5226188,shrews,0,sloth
132,0.5206248,toed,0,sloth
133,0.5139811,lemur,0,sloth
134,0.5068564,rhinoceros,0,sloth
135,0.5062380,arboreal,0,sloth
136,0.5020627,tyrannosaurus,0,sloth
137,0.4937628,apes,0,sloth
138,0.4931852,herbivores,0,sloth
139,0.4906387,hippopotamus,0,sloth
140,0.4890080,tortoises,0,sloth
141,0.8760519,sloth,1,sloth
142,0.6910230,man,1,sloth
143,0.5882247,hyena,1,sloth
144,0.5732920,ape,1,sloth
145,0.5499576,apes,1,sloth
146,0.5446431,hyenas,1,sloth
147,0.5371371,creature,1,sloth
148,0.5360680,monkeys,1,sloth
149,0.5353227,squirrel,1,sloth
150,0.5324982,beast,1,sloth
151,0.5309266,squirrels,1,sloth
152,0.5279220,armadillo,1,sloth
153,0.5268347,monkey,1,sloth
154,0.5244124,elephant,1,sloth
155,0.5170644,eater,1,sloth
156,0.5160644,grizzly,1,sloth
157,0.5108893,lemurs,1,sloth
158,0.5099187,tarantula,1,sloth
159,0.5092989,shrews,1,sloth
160,0.5070784,tyrannosaurus,1,sloth
161,0.8414262,sloth,2,sloth
162,0.6519785,woman,2,sloth
163,0.6056627,hyena,2,sloth
164,0.5622187,hyenas,2,sloth
165,0.5519152,man,2,sloth
166,0.5428674,squirrel,2,sloth
167,0.5382108,creature,2,sloth
168,0.5295232,squirrels,2,sloth
169,0.5240683,girl,2,sloth
170,0.5185185,lover,2,sloth
171,0.5158957,rhinoceros,2,sloth
172,0.5149732,monkeys,2,sloth
173,0.5105379,elephant,2,sloth
174,0.5089469,hippopotamus,2,sloth
175,0.5083998,ape,2,sloth
176,0.5076241,tarantula,2,sloth
177,0.5018293,lemurs,2,sloth
178,0.5010236,baboon,2,sloth
179,0.5008610,armadillo,2,sloth
180,0.4981595,beast,2,sloth
181,1.0000000,wrath,0,wrath
