source,target,value
man,god,86.35086
man,man,79.91207
man,gods,67.15991
man,righteousness,63.38497
man,satan,63.3055
man,mankind,63.24266
man,almighty,62.79733
man,divine,61.95723
man,omnipotent,61.27847
man,sinner,60.40324
man,humankind,60.03373
man,savior,59.69133
man,deity,59.62656
man,heaven,59.20873
man,merciful,58.82019
man,sinful,58.38953
man,sinners,58.25425
man,eternally,57.70428
man,worshipping,57.68966
man,mortals,57.62723
man,heavens,56.85188
man,stranger,56.76082
man,yahweh,56.73631
man,allah,56.58975
man,personified,56.26558
man,salvation,56.26275
man,sins,55.99449
man,parable,55.96406
man,beings,55.77016
man,eternity,55.71354
man,woman,55.69989
man,personification,55.63597
man,bless,55.58977
man,reverence,55.28864
man,righteous,55.26652
man,evil,55.2395
man,earthly,55.20202
man,goodness,55.18431
man,abomination,55.11984
man,believer,55.11087
man,behold,55.09969
man,afterlife,54.85255
man,heavenly,54.78048
man,immortal,54.67317
man,giver,54.39003
man,eternal,54.38123
man,mortal,54.3638
man,oneness,54.20884
man,thou,54.0885
man,prophet,54.04226
woman,god,83.15051
woman,woman,78.47124
woman,goddess,65.2623
woman,gods,64.81178
woman,divine,64.11972
woman,man,63.22711
woman,deity,62.45759
woman,sinful,60.24251
woman,personification,60.18914
woman,worshipping,59.97211
woman,lover,59.76049
woman,righteousness,59.75232
woman,goddesses,59.2621
woman,heaven,59.06971
woman,sinner,58.90793
woman,mother,58.68954
woman,savior,58.2825
woman,merciful,58.26346
woman,personified,58.24399
woman,omnipotent,58.19559
woman,prayed,56.96956
woman,stranger,56.91828
woman,almighty,56.82643
woman,reverence,56.75305
woman,sinners,56.38735
woman,yahweh,56.34648
woman,humankind,56.29819
woman,worshipped,56.28268
woman,priestess,56.28064
woman,blessings,56.22504
woman,blessing,56.12005
woman,bless,55.99216
woman,worshiped,55.89878
woman,mankind,55.66492
woman,womb,55.66311
woman,believer,55.63334
woman,heavens,55.18919
woman,motherhood,55.18063
woman,firstborn,55.117
woman,earthly,55.08938
woman,eternity,55.08437
woman,beloved,55.04205
